Haig Glacier Automatic Weather Station;;;;;;;;;;;;;;;;
Daily mean meteorological conditions, 2002-2015;;;;;;;lon;115.3018 W;;;;;;;albedo_flag=0:  estimated;
All data are mean daily values calculated from 30-minute AWS data.;;;;;;;lat;50.7124 N;;;;;;;albedo_flag=1: measured;
Missing data is gap-filled from the forefield AWS (lapsed/adjusted);;;;;;;elev;2665 m;;;;;;;;
See Marshall (HESS, 2014) and Marshall and Miller (Cryosphere, 2020) concerning the gap-filling methods.;;;;;;;;;;;;;;;;
;;;;;;;;;;SW in;SW out;;LW in;LW out;  albedo;
Year;Day;T (degC);Tmin (degC);Tmax (degC);RH (%); qv (g/kg);ev (mb);P (mb);v (m/s);(W/m2);(W/m2); albedo;(W/m2);(W/m2);       flag;
2002;1;-7,6;-11,4;-2,7;24,2;0,73;0,86;733,8;4,02;80,6;67,3;0,83;162,5;268,1;0;
2002;2;-3,9;-5,4;-2,6;79,9;3,12;3,64;726,4;3,91;29,0;25,3;0,87;273,3;283,4;0;
2002;3;-8,0;-9,5;-4,5;84,8;2,42;2,86;735,0;3,92;25,8;22,8;0,88;264,7;266,4;0;
2002;4;-10,0;-11,1;-9,3;85,3;2,08;2,45;734,6;4,43;47,3;42,3;0,90;257,6;258,6;0;
2002;5;-9,9;-12,6;-6,8;87,7;2,13;2,53;739,3;3,49;48,2;42,8;0,89;261,5;258,7;0;
2002;6;-7,1;-8,7;-4,7;91,3;2,79;3,28;731,9;4,71;19,3;17,0;0,88;279,6;270,0;0;
2002;7;-3,2;-5,0;-1,9;94,0;3,83;4,56;740,7;3,95;16,6;14,7;0,88;302,4;286,5;0;
2002;8;-4,8;-6,7;-2,8;88,9;3,25;3,82;729,9;3,57;27,3;24,2;0,89;285,6;279,6;0;
2002;9;-8,4;-9,7;-6,7;87,6;2,40;2,85;737,8;3,96;68,2;60,5;0,89;267,8;264,9;0;
2002;10;-8,4;-10,5;-5,6;76,2;2,08;2,46;733,7;4,78;49,4;43,8;0,89;248,5;264,7;0;
2002;11;-8,9;-10,4;-6,6;85,3;2,26;2,66;734,0;3,58;54,2;48,8;0,90;261,8;262,6;0;
2002;12;-6,4;-9,6;-3,3;87,0;2,80;3,31;737,0;5,02;24,0;21,6;0,90;275,2;272,9;0;
2002;13;-12,3;-15,1;-9,9;79,9;1,60;1,92;744,6;3,00;32,3;27,9;0,86;239,8;249,5;0;
2002;14;-15,0;-16,1;-13,7;79,7;1,27;1,52;742,3;1,37;78,2;67,0;0,86;229,2;239,1;0;
2002;15;-14,7;-16,9;-9,7;70,3;1,15;1,37;742,8;3,37;95,5;85,3;0,89;215,9;240,2;0;
2002;16;-15,3;-16,6;-14,0;80,5;1,29;1,51;730,1;3,38;32,0;28,2;0,88;229,7;238,3;0;
2002;17;-15,8;-16,7;-15,1;73,9;1,11;1,32;738,9;3,31;43,7;38,7;0,89;217,7;236,1;0;
2002;18;-16,5;-19,3;-13,7;76,7;1,10;1,31;744,4;5,22;98,9;87,0;0,88;219,6;233,7;0;
2002;19;-14,9;-16,4;-13,3;78,5;1,29;1,52;730,8;5,40;37,3;33,6;0,90;228,0;239,7;0;
2002;20;-14,6;-16,3;-12,9;81,7;1,36;1,62;741,7;4,33;35,6;31,4;0,88;233,8;240,7;0;
2002;21;-14,3;-16,2;-12,9;79,3;1,36;1,61;735,6;3,60;52,2;46,3;0,89;231,1;241,7;0;
2002;22;-17,3;-18,2;-16,2;78,0;1,05;1,23;730,0;4,11;44,1;38,2;0,86;218,7;230,7;0;
2002;23;-17,0;-18,3;-14,2;80,0;1,11;1,30;733,7;4,24;41,2;36,5;0,89;222,7;231,9;0;
2002;24;-10,5;-14,1;-8,3;87,2;2,04;2,42;738,3;6,83;18,5;16,4;0,89;258,2;256,3;0;
2002;25;-10,9;-14,9;-8,3;87,4;2,01;2,38;735,4;3,88;31,9;28,2;0,89;257,3;254,9;0;
2002;26;-15,2;-17,5;-14,1;82,5;1,31;1,55;739,0;3,49;39,7;35,2;0,89;232,9;238,4;0;
2002;27;-18,5;-19,6;-17,3;82,7;1,01;1,18;730,6;2,63;49,5;43,2;0,87;221,3;226,4;0;
2002;28;-20,1;-22,2;-16,5;63,8;0,67;0,79;737,2;3,84;138,9;122,3;0,88;189,1;220,7;0;
2002;29;-21,4;-23,3;-19,7;66,1;0,62;0,73;736,4;3,99;70,0;61,6;0,88;188,4;216,2;0;
2002;30;-17,8;-23,6;-13,6;75,7;1,00;1,18;733,9;4,42;81,7;69,4;0,85;213,8;229,1;0;
2002;31;-13,1;-14,5;-12,2;84,0;1,58;1,88;739,7;4,13;50,4;44,7;0,89;243,1;246,3;0;
