pixel_id,date,qa_mode,method,albedo,glacier_fraction,ndsi,solar_zenith,elevation,slope,aspect,longitude,latitude,tile_h,tile_v,pixel_row,pixel_col,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07
9428025675,2002-06-12,renoriginal,MOD09GA,0.7413606879,0.718,0.9135949267,31.88,2644,14.343502,188.44362,-115.3225598,50.71542822,-11532,5072,9428,25675,0.9707,0.8276,0.9006,0.9656,0.2263,0.0436,0.0182
9428025676,2002-06-12,renoriginal,MOD09GA,0.7367608996,0.916,0.9135949267,31.88,2748,8.819073,223.62779,-115.3154581,50.71542822,-11532,5072,9428,25676,0.9707,0.8276,0.9006,0.9656,0.2263,0.0436,0.0182
9428025677,2002-06-12,renoriginal,MOD09GA,0.7351123396,1,0.9079431355,31.88,2728,8.819073,223.62779,-115.3083564,50.71542822,-11531,5072,9428,25677,0.9623,0.8261,0.8987,0.9596,0.2333,0.0463,0.0186
9428025678,2002-06-12,renoriginal,MOD09GA,0.6337748531,0.9808,0.858151184,31.87,2666,7.3199406,63.576748,-115.3012547,50.71542822,-11530,5072,9428,25678,0.8031,0.6919,0.7775,0.8161,0.2138,0.0623,0.039
9429025676,2002-06-12,renoriginal,MOD09GA,0.7434283376,0.9976,0.9079431355,31.88,2651,7.3199406,63.576748,-115.3043965,50.71093162,-11530,5071,9429,25676,0.9623,0.8261,0.8987,0.9596,0.2333,0.0463,0.0186
9429025677,2002-06-12,renoriginal,MOD09GA,0.7386706724,0.9912,0.9079431355,31.88,2609,4.351213,206.16524,-115.2972954,50.71093162,-11530,5071,9429,25677,0.9623,0.8261,0.8987,0.9596,0.2333,0.0463,0.0186
9430025674,2002-06-12,renoriginal,MOD09GA,0.6036617532,0.9628,0.9028712427,31.86,2697,30.739088,237.65184,-115.3075384,50.70643501,-11531,5071,9430,25674,0.8493,0.7259,0.8051,0.8483,0.2018,0.0433,0.0197
9430025675,2002-06-12,renoriginal,MOD09GA,0.6516437573,1,0.9028712427,31.86,2655,9.701603,211.55067,-115.300438,50.70643501,-11530,5071,9430,25675,0.8493,0.7259,0.8051,0.8483,0.2018,0.0433,0.0197
9430025676,2002-06-12,renoriginal,MOD09GA,0.7305632102,0.8548,0.8842295345,31.86,2608,19.45448,109.0582,-115.2933377,50.70643501,-11529,5071,9430,25676,0.9415,0.8062,0.8777,0.9391,0.226,0.0577,0.0292
9427025676,2002-06-13,renoriginal,MOD09GA,0.7216367537,0.4224,0.9240609968,28.58,2705,14.1609125,94.02388,-115.3265225,50.71992482,-11533,5072,9427,25676,0.9438,0.7989,0.8625,0.94,0.1758,0.0371,0.0193
9427025677,2002-06-13,renoriginal,MOD09GA,0.7289861215,0.8748,0.9014886602,28.58,2690,11.969323,184.10654,-115.3194202,50.71992482,-11532,5072,9427,25677,0.956,0.8148,0.8737,0.9516,0.1593,0.0493,0.0306
9427025678,2002-06-13,renoriginal,MOD09GA,0.7312844303,0.8052,0.9014886602,28.57,2730,3.6912005,191.42978,-115.3123178,50.71992482,-11531,5072,9427,25678,0.956,0.8148,0.8737,0.9516,0.1593,0.0493,0.0306
9427025679,2002-06-13,renoriginal,MOD09GA,0.7514215367,0.5964,0.890025082,28.57,2702,7.127141,189.19272,-115.3052154,50.71992482,-11531,5072,9427,25679,0.9843,0.8363,0.8994,0.9796,0.1657,0.057,0.0356
9428025675,2002-06-13,renoriginal,MOD09GA,0.7191414352,0.718,0.9240609968,28.56,2644,14.343502,188.44362,-115.3225598,50.71542822,-11532,5072,9428,25675,0.9438,0.7989,0.8625,0.94,0.1758,0.0371,0.0193
9428025676,2002-06-13,renoriginal,MOD09GA,0.652611838,0.916,0.9163189354,28.56,2748,8.819073,223.62779,-115.3154581,50.71542822,-11532,5072,9428,25676,0.8437,0.7097,0.7891,0.8496,0.1697,0.0371,0.0222
9428025677,2002-06-13,renoriginal,MOD09GA,0.685296738,1,0.9100472306,28.56,2728,8.819073,223.62779,-115.3083564,50.71542822,-11531,5072,9428,25677,0.891,0.7486,0.8261,0.8897,0.171,0.0419,0.0233
9428025678,2002-06-13,renoriginal,MOD09GA,0.7543119021,0.9808,0.889136977,28.56,2666,7.3199406,63.576748,-115.3012547,50.71542822,-11530,5072,9428,25678,0.9766,0.833,0.8931,0.973,0.203,0.0571,0.0379
9429025676,2002-06-13,renoriginal,MOD09GA,0.6952799434,0.9976,0.9083855883,28.56,2651,7.3199406,63.576748,-115.3043965,50.71093162,-11530,5071,9429,25676,0.9012,0.7645,0.8291,0.8978,0.1793,0.0431,0.0253
9429025677,2002-06-13,renoriginal,MOD09GA,0.6910028662,0.9912,0.8698644421,28.56,2609,4.351213,206.16524,-115.2972954,50.71093162,-11530,5071,9429,25677,0.8885,0.7534,0.8308,0.8966,0.1867,0.0624,0.0407
9430025674,2002-06-13,renoriginal,MOD09GA,0.4327481467,0.9628,0.8003690656,28.55,2697,30.739088,237.65184,-115.3075384,50.70643501,-11531,5071,9430,25674,0.5339,0.4515,0.5209,0.5366,0.1459,0.0595,0.0466
9430025675,2002-06-13,renoriginal,MOD09GA,0.6927921251,1,0.9083855883,28.55,2655,9.701603,211.55067,-115.300438,50.70643501,-11530,5071,9430,25675,0.9012,0.7645,0.8291,0.8978,0.1793,0.0431,0.0253
9427025676,2002-06-14,renoriginal,MOD09GA,0.4588269634,0.4224,0.8587641866,33.11,2705,14.1609125,94.02388,-115.3265225,50.71992482,-11533,5072,9427,25676,0.5976,0.5338,0.5411,0.5896,0.1585,0.0448,0.0271
9427025677,2002-06-14,renoriginal,MOD09GA,0.4292506434,0.8748,0.8558322412,33.11,2690,11.969323,184.10654,-115.3194202,50.71992482,-11532,5072,9427,25677,0.5734,0.5042,0.5227,0.5664,0.1495,0.044,0.0289
9427025678,2002-06-14,renoriginal,MOD09GA,0.506623334,0.8052,0.8241126599,27.45,2730,3.6912005,191.42978,-115.3123178,50.71992482,-11531,5072,9427,25678,0.641,0.5863,0.5779,0.6347,0.1881,0.0612,0.0433
9427025679,2002-06-14,renoriginal,MOD09GA,0.5187723398,0.5964,0.8524429511,27.45,2702,7.127141,189.19272,-115.3052154,50.71992482,-11531,5072,9427,25679,0.6654,0.5963,0.5986,0.6616,0.1822,0.0527,0.0315
9428025675,2002-06-14,renoriginal,MOD09GA,0.464181759,0.718,0.8587641866,27.43,2644,14.343502,188.44362,-115.3225598,50.71542822,-11532,5072,9428,25675,0.5976,0.5338,0.5411,0.5896,0.1585,0.0448,0.0271
9428025676,2002-06-14,renoriginal,MOD09GA,0.5189129162,0.916,0.868417297,27.43,2748,8.819073,223.62779,-115.3154581,50.71542822,-11532,5072,9428,25676,0.6649,0.6024,0.5936,0.6546,0.1846,0.0461,0.0257
9428025677,2002-06-14,renoriginal,MOD09GA,0.5189129162,1,0.868417297,27.43,2728,8.819073,223.62779,-115.3083564,50.71542822,-11531,5072,9428,25677,0.6649,0.6024,0.5936,0.6546,0.1846,0.0461,0.0257
9428025678,2002-06-14,renoriginal,MOD09GA,0.5219072972,0.9808,0.8524429511,27.45,2666,7.3199406,63.576748,-115.3012547,50.71542822,-11530,5072,9428,25678,0.6654,0.5963,0.5986,0.6616,0.1822,0.0527,0.0315
9429025676,2002-06-14,renoriginal,MOD09GA,0.5738452362,0.9976,0.903785489,27.43,2651,7.3199406,63.576748,-115.3043965,50.71093162,-11530,5071,9429,25676,0.7436,0.6724,0.649,0.7242,0.181,0.0366,0.0206
9429025677,2002-06-14,renoriginal,MOD09GA,0.5192564025,0.9912,0.868417297,27.43,2609,4.351213,206.16524,-115.2972954,50.71093162,-11530,5071,9429,25677,0.6649,0.6024,0.5936,0.6546,0.1846,0.0461,0.0257
9430025674,2002-06-14,renoriginal,MOD09GA,0.36932104,0.9628,0.7140204271,27.43,2697,30.739088,237.65184,-115.3075384,50.70643501,-11531,5071,9430,25674,0.4511,0.4034,0.4325,0.4615,0.1558,0.077,0.0615
9430025675,2002-06-14,renoriginal,MOD09GA,0.5109880725,1,0.8888401346,27.43,2655,9.701603,211.55067,-115.300438,50.70643501,-11530,5071,9430,25675,0.6612,0.5959,0.5884,0.6457,0.1591,0.038,0.0247
9430025676,2002-06-14,renoriginal,MOD09GA,0.5283757186,0.8548,0.8412742002,33.08,2608,19.45448,109.0582,-115.2933377,50.70643501,-11529,5071,9430,25676,0.6817,0.631,0.6023,0.6705,0.1846,0.0578,0.0396
9427025678,2002-06-15,renoriginal,MOD09GA,0.6844041701,0.8052,0.9288157332,29.26,2730,3.6912005,191.42978,-115.3123178,50.71992482,-11531,5072,9427,25678,0.8945,0.7393,0.8372,0.9023,0.1482,0.0333,0.0149
9427025679,2002-06-15,renoriginal,MOD09GA,0.6813487225,0.5964,0.9034863946,29.26,2702,7.127141,189.19272,-115.3052154,50.71992482,-11531,5072,9427,25679,0.8854,0.7379,0.8304,0.8954,0.1606,0.0454,0.0302
9428025676,2002-06-15,renoriginal,MOD09GA,0.6311297502,0.916,0.9262973761,29.24,2748,8.819073,223.62779,-115.3154581,50.71542822,-11532,5072,9428,25676,0.8224,0.6823,0.771,0.8259,0.1435,0.0316,0.0187
9428025677,2002-06-15,renoriginal,MOD09GA,0.7027338902,1,0.9366078925,29.24,2728,8.819073,223.62779,-115.3083564,50.71542822,-11531,5072,9428,25677,0.9175,0.7673,0.8543,0.9226,0.1546,0.0302,0.0155
9429025676,2002-06-15,renoriginal,MOD09GA,0.7002462645,0.9976,0.9353128314,29.24,2651,7.3199406,63.576748,-115.3043965,50.71093162,-11530,5071,9429,25676,0.9087,0.7657,0.8451,0.9125,0.1589,0.0305,0.0197
9429025677,2002-06-15,renoriginal,MOD09GA,0.6948469804,0.9912,0.9126499684,29.24,2609,4.351213,206.16524,-115.2972954,50.71093162,-11530,5071,9429,25677,0.9003,0.7592,0.8407,0.9087,0.1633,0.0415,0.0281
9430025676,2002-06-15,renoriginal,MOD09GA,0.6809734352,0.8548,0.9071114448,29.23,2608,19.45448,109.0582,-115.2933377,50.70643501,-11529,5071,9430,25676,0.8883,0.7524,0.8195,0.889,0.1653,0.0433,0.0337
9427025676,2002-06-21,renoriginal,MOD09GA,0.4815630052,0.4224,0.8328624535,27.31,2705,14.1609125,94.02388,-115.3265225,50.71992482,-11533,5072,9427,25676,0.6157,0.5425,0.5588,0.6163,0.1725,0.0562,0.0372
9427025677,2002-06-21,renoriginal,MOD09GA,0.4945114797,0.8748,0.8469818182,27.31,2690,11.969323,184.10654,-115.3194202,50.71992482,-11532,5072,9427,25677,0.644,0.5604,0.5774,0.6349,0.1682,0.0526,0.0339
9427025678,2002-06-21,renoriginal,MOD09GA,0.4964739041,0.8052,0.8469818182,27.32,2730,3.6912005,191.42978,-115.3123178,50.71992482,-11531,5072,9427,25678,0.644,0.5604,0.5774,0.6349,0.1682,0.0526,0.0339
9427025679,2002-06-21,renoriginal,MOD09GA,0.4955799715,0.5964,0.8469818182,27.32,2702,7.127141,189.19272,-115.3052154,50.71992482,-11531,5072,9427,25679,0.644,0.5604,0.5774,0.6349,0.1682,0.0526,0.0339
9428025675,2002-06-21,renoriginal,MOD09GA,0.4782878354,0.718,0.8328624535,27.3,2644,14.343502,188.44362,-115.3225598,50.71542822,-11532,5072,9428,25675,0.6157,0.5425,0.5588,0.6163,0.1725,0.0562,0.0372
9428025676,2002-06-21,renoriginal,MOD09GA,0.4802395603,0.916,0.8328624535,27.3,2748,8.819073,223.62779,-115.3154581,50.71542822,-11532,5072,9428,25676,0.6157,0.5425,0.5588,0.6163,0.1725,0.0562,0.0372
9428025677,2002-06-21,renoriginal,MOD09GA,0.4802395603,1,0.8328624535,27.3,2728,8.819073,223.62779,-115.3083564,50.71542822,-11531,5072,9428,25677,0.6157,0.5425,0.5588,0.6163,0.1725,0.0562,0.0372
9428025678,2002-06-21,renoriginal,MOD09GA,0.4774819662,0.9808,0.7687709579,27.32,2666,7.3199406,63.576748,-115.3012547,50.71542822,-11530,5072,9428,25678,0.5975,0.5321,0.5509,0.6066,0.1896,0.0793,0.0591
9429025676,2002-06-21,renoriginal,MOD09GA,0.5331985949,0.9976,0.8513403737,27.3,2651,7.3199406,63.576748,-115.3043965,50.71093162,-11530,5071,9429,25676,0.682,0.6073,0.6121,0.6837,0.1861,0.0549,0.0361
9429025677,2002-06-21,renoriginal,MOD09GA,0.5309806661,0.9912,0.8513403737,27.3,2609,4.351213,206.16524,-115.2972954,50.71093162,-11530,5071,9429,25677,0.682,0.6073,0.6121,0.6837,0.1861,0.0549,0.0361
9430025674,2002-06-21,renoriginal,MOD09GA,0.3210862786,0.9628,0.6236603462,27.3,2697,30.739088,237.65184,-115.3075384,50.70643501,-11531,5071,9430,25674,0.3903,0.3599,0.3603,0.3939,0.1636,0.0913,0.0728
9430025675,2002-06-21,renoriginal,MOD09GA,0.530059024,1,0.8513403737,27.3,2655,9.701603,211.55067,-115.300438,50.70643501,-11530,5071,9430,25675,0.682,0.6073,0.6121,0.6837,0.1861,0.0549,0.0361
9430025676,2002-06-21,renoriginal,MOD09GA,0.5307373887,0.8548,0.8513403737,27.3,2608,19.45448,109.0582,-115.2933377,50.70643501,-11529,5071,9430,25676,0.682,0.6073,0.6121,0.6837,0.1861,0.0549,0.0361
9427025676,2002-06-23,renoriginal,MOD09GA,0.5503040719,0.4224,0.9023474178,27.33,2705,14.1609125,94.02388,-115.3265225,50.71992482,-11533,5072,9427,25676,0.7219,0.6261,0.6402,0.7091,0.1569,0.0364,0.0215
9427025677,2002-06-23,renoriginal,MOD09GA,0.5474826827,0.8748,0.9023474178,27.33,2690,11.969323,184.10654,-115.3194202,50.71992482,-11532,5072,9427,25677,0.7219,0.6261,0.6402,0.7091,0.1569,0.0364,0.0215
9427025678,2002-06-23,renoriginal,MOD09GA,0.6018016946,0.8052,0.9155067155,27.33,2730,3.6912005,191.42978,-115.3123178,50.71992482,-11531,5072,9427,25678,0.7859,0.681,0.7074,0.7844,0.1671,0.0346,0.021
