date,MCD43A3,MOD09GA,MOD10A1,AWS,glacier_fraction_MCD43A3,glacier_fraction_MOD09GA,glacier_fraction_MOD10A1,glacier_fraction,solar_zenith_MCD43A3,solar_zenith_MOD09GA,solar_zenith_MOD10A1,solar_zenith,ndsi_MCD43A3,ndsi_MOD09GA,ndsi_MOD10A1,ndsi,pixel_id_MCD43A3,pixel_id_MOD09GA,pixel_id_MOD10A1,pixel_id
2014-09-13,0.204,0.5912414468602247,0.46,0.753021850747767,0.9692000000002198,0.6586666666677538,0.6586666666677538,0.9692000000002198,-999.0,50.34,-999.0,50.34,-999.0,0.779054583442152,8302.0,0.779054583442152,9073025950.0,9075025945.0,9075025945.0,9073025950.0
2014-09-14,0.209,0.4044489007278629,0.35,0.604579939202847,0.9692000000002198,0.8139333333339868,0.8139333333339868,0.9692000000002198,-999.0,49.165,-999.0,49.165,-999.0,0.8660205422035554,7627.5,0.8660205422035554,9073025950.0,9073025950.0,9073025950.0,9073025950.0
2014-09-15,,0.2465901101478064,0.3,0.477195826233678,,0.9692000000002198,0.6586666666677538,0.9692000000002198,,51.76,-999.0,51.76,,0.5896937287311619,8742.0,0.5896937287311619,,9073025950.0,9075025945.0,9073025950.0
2014-09-16,,0.2510186766150063,,0.368135244611364,,0.9692000000002198,,0.9692000000002198,,50.19,,50.19,,0.8471656749138742,,0.8471656749138742,,9073025950.0,,9073025950.0
2014-09-19,,,0.39,0.328178996866545,,,0.6586666666677538,0.6586666666677538,,,-999.0,,,,3701.0,3701.0,,,9075025945.0,9075025945.0
2014-09-20,0.306,0.2722394777568382,0.235,0.372609175251852,0.6586666666677538,0.9692000000002198,0.8139333333339868,0.6586666666677538,-999.0,52.56,-999.0,52.56,-999.0,0.7460805410390409,8813.5,0.7460805410390409,9075025945.0,9073025950.0,9073025950.0,9075025945.0
2014-09-21,0.214,0.2379347154158831,0.095,0.353812193941216,0.9692000000002198,0.9692000000002198,0.8139333333339868,0.9692000000002198,-999.0,51.75,-999.0,51.75,-999.0,0.7224306076519129,7402.5,0.7224306076519129,9073025950.0,9073025950.0,9073025950.0,9073025950.0
2014-09-22,0.214,0.2485360028601738,,0.295265279949128,0.9692000000002198,0.6586666666677538,,0.9692000000002198,-999.0,52.77,,52.77,-999.0,0.6788715486194479,,0.6788715486194479,9073025950.0,9075025945.0,,9073025950.0
2014-09-26,,0.2796791039977989,0.16499999999999998,0.337818469428167,,0.6586666666677538,0.8139333333339868,0.6586666666677538,,53.76,-999.0,53.76,,0.5653393157599551,3308.5,0.5653393157599551,,9075025945.0,9073025950.0,9075025945.0
2014-09-27,,0.33458186521202393,0.29,0.457718317201158,,0.8139333333339868,0.6586666666677538,0.8139333333339868,,54.9,-999.0,54.9,,0.857036183738394,9789.0,0.857036183738394,,9073025950.0,9075025945.0,9073025950.0
2014-09-28,,0.2779868801913823,0.21,0.481360159544314,,0.8139333333339868,0.6586666666677538,0.8139333333339868,,54.425,-999.0,54.425,,0.6880618569063109,8078.0,0.6880618569063109,,9073025950.0,9075025945.0,9073025950.0
2014-09-29,,0.3334197151503102,,0.373613741487458,,0.8139333333339868,,0.8139333333339868,,56.15,,56.15,,0.48379724481158914,,0.48379724481158914,,9073025950.0,,9073025950.0
2015-07-14,0.20550000000000002,0.25419383790799216,,0.311645292674277,0.8139333333339868,0.9692000000002198,,0.8139333333339868,-999.0,33.62,,33.62,-999.0,0.6326969615488035,,0.6326969615488035,9073025950.0,9073025950.0,,9073025950.0
2015-07-15,0.20550000000000002,,,0.308884326285328,0.8139333333339868,,,0.8139333333339868,-999.0,,,,-999.0,,,,9073025950.0,,,9073025950.0
2015-07-16,0.20550000000000002,0.4452542359475632,,0.463899872936585,0.8139333333339868,0.6586666666677538,,0.8139333333339868,-999.0,34.980000000000004,,34.980000000000004,-999.0,0.6564720420142107,,0.6564720420142107,9073025950.0,9075025945.0,,9073025950.0
2015-07-17,0.20550000000000002,,,0.321048943892074,0.8139333333339868,,,0.8139333333339868,-999.0,,,,-999.0,,,,9073025950.0,,,9073025950.0
2015-07-18,0.20550000000000002,,,0.313591637403782,0.8139333333339868,,,0.8139333333339868,-999.0,,,,-999.0,,,,9073025950.0,,,9073025950.0
2015-07-19,,0.3321963277929096,,0.281527305258288,,0.9692000000002198,,0.9692000000002198,,32.93,,32.93,,0.1059667427453537,,0.1059667427453537,,9073025950.0,,9073025950.0
2015-07-20,,0.0442458147674053,0.03,0.26823542552591,,0.6586666666677538,0.6586666666677538,0.6586666666677538,,31.68,-999.0,31.68,,0.101311084624553,5249.0,0.101311084624553,,9075025945.0,9075025945.0,9075025945.0
2015-07-23,,,0.24,0.321079027434535,,,0.9692000000002198,0.9692000000002198,,,-999.0,,,,3538.0,3538.0,,,9073025950.0,9073025950.0
2015-07-25,0.178,,,0.312690866163698,0.9692000000002198,,,0.9692000000002198,-999.0,,,,-999.0,,,,9073025950.0,,,9073025950.0
2015-07-26,0.178,,0.17,0.329917723673692,0.9692000000002198,,0.9692000000002198,0.9692000000002198,-999.0,,-999.0,,-999.0,,6287.0,6287.0,9073025950.0,,9073025950.0,9073025950.0
2015-07-27,0.178,,,0.353395855428515,0.9692000000002198,,,0.9692000000002198,-999.0,,,,-999.0,,,,9073025950.0,,,9073025950.0
2015-07-28,0.178,0.329643284690807,,0.366009733995168,0.9692000000002198,0.6586666666677538,,0.9692000000002198,-999.0,34.4,,34.4,-999.0,0.3591022443890274,,0.3591022443890274,9073025950.0,9075025945.0,,9073025950.0
2015-07-29,0.185,0.2274442371890011,0.21,0.284762361531905,0.9692000000002198,0.9692000000002198,0.9692000000002198,0.9692000000002198,-999.0,33.58,-999.0,33.58,-999.0,0.1893780573025856,3277.0,0.1893780573025856,9073025950.0,9073025950.0,9073025950.0,9073025950.0
2015-07-30,0.185,0.2387616066662476,0.22,0.280720674653172,0.9692000000002198,0.8139333333339868,0.9692000000002198,0.9692000000002198,-999.0,35.510000000000005,-999.0,35.510000000000005,-999.0,0.7452729540970808,6876.0,0.7452729540970808,9073025950.0,9073025950.0,9073025950.0,9073025950.0
2015-07-31,0.185,0.19224195360906815,,0.266579615583736,0.9692000000002198,0.8139333333339868,,0.9692000000002198,-999.0,34.52,,34.52,-999.0,0.7172835847381223,,0.7172835847381223,9073025950.0,9073025950.0,,9073025950.0
2015-08-01,0.187,0.1862288611983326,,0.267073241987752,0.9692000000002198,0.9692000000002198,,0.9692000000002198,-999.0,38.13,,38.13,-999.0,0.6410550458715597,,0.6410550458715597,9073025950.0,9073025950.0,,9073025950.0
2015-08-02,0.187,0.379992971636951,,0.262955059165349,0.9692000000002198,0.6586666666677538,,0.9692000000002198,-999.0,35.51,,35.51,-999.0,0.3268702536758766,,0.3268702536758766,9073025950.0,9075025945.0,,9073025950.0
2015-08-03,0.188,,,0.264270292859877,0.9692000000002198,,,0.9692000000002198,-999.0,,,,-999.0,,,,9073025950.0,,,9073025950.0
2015-08-04,0.189,,,0.273827954025652,0.9692000000002198,,,0.9692000000002198,-999.0,,,,-999.0,,,,9073025950.0,,,9073025950.0
2015-08-05,0.189,0.2267614606248905,0.25,0.274302030577506,0.9692000000002198,0.9692000000002198,0.9692000000002198,0.9692000000002198,-999.0,41.38,-999.0,41.38,-999.0,0.3621500559910415,2323.0,0.3621500559910415,9073025950.0,9073025950.0,9073025950.0,9073025950.0
2015-08-06,0.189,,,0.329511767171787,0.9692000000002198,,,0.9692000000002198,-999.0,,,,-999.0,,,,9073025950.0,,,9073025950.0
2015-08-07,0.189,,,0.287620849981953,0.9692000000002198,,,0.9692000000002198,-999.0,,,,-999.0,,,,9073025950.0,,,9073025950.0
2015-08-08,0.187,0.2056031125267029,,0.267708010566262,0.9692000000002198,0.9692000000002198,,0.9692000000002198,-999.0,39.34,,39.34,-999.0,0.6147859922178989,,0.6147859922178989,9073025950.0,9073025950.0,,9073025950.0
2015-08-09,0.199,0.1417697015689331,,0.274261670252109,0.9692000000002198,0.9692000000002198,,0.9692000000002198,-999.0,37.1,,37.1,-999.0,0.3137651821862348,,0.3137651821862348,9073025950.0,9073025950.0,,9073025950.0
2015-08-11,,0.24891334250253555,,0.265973284844053,,0.9692000000002198,,0.9692000000002198,,38.2,,38.2,,0.7841269841269841,,0.7841269841269841,,9073025950.0,,9073025950.0
2015-08-12,,0.09613894326815257,,0.244075203837774,,0.8139333333339868,,0.8139333333339868,,39.93000000000001,,39.93000000000001,,0.0599411495721677,,0.0599411495721677,,9073025950.0,,9073025950.0
2015-08-13,,0.17453213069247614,,0.244809399347604,,0.8139333333339868,,0.8139333333339868,,39.435,,39.435,,0.599903860723448,,0.599903860723448,,9073025950.0,,9073025950.0
2015-08-16,0.628,0.2386409523464189,0.2,0.299865356342773,0.9692000000002198,0.9692000000002198,0.9692000000002198,0.9692000000002198,-999.0,38.97,-999.0,38.97,-999.0,0.6127864897466828,5978.0,0.6127864897466828,9073025950.0,9073025950.0,9073025950.0,9073025950.0
2015-08-17,0.628,,,0.313267953111018,0.9692000000002198,,,0.9692000000002198,-999.0,,,,-999.0,,,,9073025950.0,,,9073025950.0
2015-08-18,0.628,,,0.302876941133768,0.9692000000002198,,,0.9692000000002198,-999.0,,,,-999.0,,,,9073025950.0,,,9073025950.0
2015-08-19,0.628,0.1827065687069519,0.14,0.274469099071558,0.9692000000002198,0.9692000000002198,0.9692000000002198,0.9692000000002198,-999.0,39.59,-999.0,39.59,-999.0,0.6269681065805409,4153.0,0.6269681065805409,9073025950.0,9073025950.0,9073025950.0,9073025950.0
2015-08-20,0.628,,,0.299198905701495,0.9692000000002198,,,0.9692000000002198,-999.0,,,,-999.0,,,,9073025950.0,,,9073025950.0
2015-08-21,0.628,,,0.937282061161765,0.9692000000002198,,,0.9692000000002198,-999.0,,,,-999.0,,,,9073025950.0,,,9073025950.0
2015-08-22,0.628,0.7345158126342831,0.6625,0.792579597764104,0.9692000000002198,0.8139333333339868,0.8139333333339868,0.9692000000002198,-999.0,42.495000000000005,-999.0,42.495000000000005,-999.0,0.8385849539124006,8378.5,0.8385849539124006,9073025950.0,9073025950.0,9073025950.0,9073025950.0
2015-08-23,0.214,,0.41,0.506624549719819,0.9692000000002198,,0.6586666666677538,0.9692000000002198,-999.0,,-999.0,,-999.0,,7733.0,7733.0,9073025950.0,,9075025945.0,9073025950.0
2015-08-24,0.213,0.1916743499719727,,0.267671760883185,0.9692000000002198,0.9692000000002198,,0.9692000000002198,-999.0,43.93,,43.93,-999.0,0.6189290161892901,,0.6189290161892901,9073025950.0,9073025950.0,,9073025950.0
2015-08-25,0.213,,,0.262165302584839,0.9692000000002198,,,0.9692000000002198,-999.0,,,,-999.0,,,,9073025950.0,,,9073025950.0
2015-08-26,0.213,0.2359215719681688,,0.261050510521051,0.9692000000002198,0.6586666666677538,,0.9692000000002198,-999.0,45.46,,45.46,-999.0,0.5173637515842839,,0.5173637515842839,9073025950.0,9075025945.0,,9073025950.0
2015-08-27,0.213,0.2393829337191635,,0.251111983536992,0.9692000000002198,0.9692000000002198,,0.9692000000002198,-999.0,43.17,,43.17,-999.0,0.8024928092042187,,0.8024928092042187,9073025950.0,9073025950.0,,9073025950.0
2015-08-28,0.213,,,0.280719834534902,0.9692000000002198,,,0.9692000000002198,-999.0,,,,-999.0,,,,9073025950.0,,,9073025950.0
2015-08-29,0.213,0.3022661782199198,,0.263426825593077,0.9692000000002198,0.9692000000002198,,0.9692000000002198,-999.0,44.41,,44.41,-999.0,0.2152819890842935,,0.2152819890842935,9073025950.0,9073025950.0,,9073025950.0
2015-08-30,0.213,,,0.29797382421046,0.9692000000002198,,,0.9692000000002198,-999.0,,,,-999.0,,,,9073025950.0,,,9073025950.0
2015-08-31,0.213,,,0.404760910997325,0.9692000000002198,,,0.9692000000002198,-999.0,,,,-999.0,,,,9073025950.0,,,9073025950.0
2015-09-02,,,0.56,0.855163850322741,,,0.6586666666677538,0.6586666666677538,,,-999.0,,,,6358.0,6358.0,,,9075025945.0,9075025945.0
2015-09-10,,,0.15,0.304873264118292,,,0.9692000000002198,0.9692000000002198,,,-999.0,,,,5281.0,5281.0,,,9073025950.0,9073025950.0
2015-09-11,,0.21359003516390573,0.3,0.340091773506708,,0.8139333333339868,0.6586666666677538,0.8139333333339868,,47.855000000000004,-999.0,47.855000000000004,,0.6845618083405367,7846.0,0.6845618083405367,,9073025950.0,9075025945.0,9073025950.0
2015-09-12,0.309,0.2236499607490226,0.12,0.273043667045822,0.6586666666677538,0.8139333333339868,0.9692000000002198,0.6586666666677538,-999.0,48.8,-999.0,48.8,-999.0,0.8135183938200006,7801.0,0.8135183938200006,9075025945.0,9073025950.0,9073025950.0,9075025945.0
2015-09-13,0.309,0.1197956415952562,0.14250000000000002,0.285879110052138,0.6586666666677538,0.6586666666677538,0.8139333333339868,0.6586666666677538,-999.0,53.64,-999.0,53.64,-999.0,0.3966942148760331,5093.0,0.3966942148760331,9075025945.0,9075025945.0,9073025950.0,9075025945.0
2015-09-14,0.308,,,0.770185842311462,0.6586666666677538,,,0.6586666666677538,-999.0,,,,-999.0,,,,9075025945.0,,,9075025945.0
2015-09-16,0.307,,,0.753411774784098,0.6586666666677538,,,0.6586666666677538,-999.0,,,,-999.0,,,,9075025945.0,,,9075025945.0
2015-09-17,0.307,,,0.751420467968077,0.6586666666677538,,,0.6586666666677538,-999.0,,,,-999.0,,,,9075025945.0,,,9075025945.0
