method,performance_metric,mean,std,coefficient_of_variation,min,max,range,n_glaciers,consistency_rating
MOD09GA,r,0.6663416529586402,0.12770692179238624,0.19165381786558225,0.5403543675124792,0.7957014075394853,0.25534704002700603,3,consistent
MOD09GA,rmse,0.1374724241762089,0.0363774728573799,0.26461650818604987,0.10358470945391111,0.17591134200865055,0.07232663255473944,3,moderately consistent
MOD09GA,mae,0.09605148245068627,0.024701142199030128,0.2571656529269283,0.0788156203801244,0.12435037433522789,0.045534753955103494,3,moderately consistent
MOD09GA,bias,-0.05579047923859881,0.017818193397299086,0.3193769553600019,-0.0731048434344236,-0.03750793427405597,0.035596909160367625,3,inconsistent
MYD09GA,r,0.558524104337892,0.11728036296140368,0.20998263468044026,0.4755943643878639,0.6414538442879202,0.16585947990005628,2,moderately consistent
MYD09GA,rmse,0.12310127880399435,0.026446594687917012,0.21483606786917375,0.1044007123608761,0.1418018452471126,0.03740113288623649,2,moderately consistent
MYD09GA,mae,0.08775459712522343,0.025521945258779613,0.2908331425914985,0.06970785656366851,0.10580133768677835,0.03609348112310984,2,moderately consistent
MYD09GA,bias,-0.04835035774741539,0.01711185222851204,0.3539136632226215,-0.06045026449685839,-0.036250450997972396,0.024199813498885996,2,inconsistent
mcd43a3,r,0.6453918295597488,0.18231172098629927,0.28248222651139293,0.44805839752916216,0.8075581602294526,0.35949976270029044,3,moderately consistent
mcd43a3,rmse,0.1883723773122851,0.06644296608858809,0.35272138641876594,0.14360581841851858,0.2647152170451591,0.12110939862664052,3,inconsistent
mcd43a3,mae,0.14797784544582987,0.0662951336217179,0.4480071555440136,0.08621359754362125,0.21802536231884062,0.1318117647752194,3,inconsistent
mcd43a3,bias,-0.134907268322454,0.06701964076247519,0.4967830243385072,-0.19941908212560389,-0.06563377562977141,0.13378530649583248,3,inconsistent
mod10a1,r,0.699291139023071,0.09529560660258013,0.13627458047832655,0.6396281287156832,0.8091944653034829,0.16956633658779974,3,consistent
mod10a1,rmse,0.1488434628230031,0.04120143233593037,0.2768104930810765,0.10770280847204465,0.19010540535865833,0.08240259688661368,3,moderately consistent
mod10a1,mae,0.10960723732184019,0.024486592260731774,0.22340306040952104,0.08503425433426966,0.13400651465798047,0.04897226032371081,3,moderately consistent
mod10a1,bias,-0.07675251443739185,0.027762044244401884,0.36170859610140577,-0.10436482084690553,-0.048843116865168526,0.055521703981737,3,inconsistent
myd10a1,r,0.5953114850156067,0.06563956293286789,0.11026087113227302,0.5488973049516547,0.6417256650795587,0.09282836012790407,2,consistent
myd10a1,rmse,0.16320615958475637,0.005580406773874239,0.03419237844988453,0.15926021611317057,0.1671521030563422,0.007891886943171639,2,very consistent
myd10a1,mae,0.12455768029073283,0.0033537958149413376,0.02692564446538478,0.12218618852727274,0.1269291720541929,0.0047429835269201664,2,very consistent
myd10a1,bias,-0.043973797916429386,0.0015389822349795767,0.034997710179692845,-0.04506202269090907,-0.0428855731419497,0.002176449548959375,2,very consistent
