date,bc_aod_regional,temperature_c,total_precip_mm,snowfall_mm,rainfall_mm,year,month,day_of_year,albedo_mean,predicted_albedo,residuals,leverage,cooks_distance,studentized_residuals
2023-07-15,0.127825769,13.88202248,1.175507903,0.0,1.175507903,2023,7,196,0.19374272541958987,0.12474712354866063,0.06899560187092924,0.1438456112967139,0.011431464524326428,0.5832619885183515
2023-08-18,0.1251576069,16.31034749,4.055202007,0.0,4.055202007,2023,8,230,0.16666666666666666,0.11057354567092889,0.056093120995737766,0.13042954919630023,0.006641287358582822,0.47051722632992515
2024-07-25,0.1084101654,14.58621941,2.932679653,0.0,2.932679653,2024,7,207,0.349,0.1439012171304272,0.20509878286957278,0.09611460460700322,0.06055575560752783,1.6874258923272822
2023-07-14,0.1038772534,11.86190948,3.46865654,0.0,3.46865654,2023,7,195,0.2194741666105143,0.15885668158770352,0.06061748502281078,0.08869787062061738,0.004802317477950094,0.4966895600068672
2023-08-04,0.08374926659,14.7893781,3.528052568,0.0,3.528052568,2023,8,216,0.16085664057463142,0.17581466194300488,-0.014958021368373459,0.053210254763514646,0.0001625186336177485,-0.12024462904550103
2022-09-04,0.07129529041,16.15122948,0.000851,0.0,0.000851,2022,9,247,0.16734181485146873,0.1988527200062633,-0.03151090515479457,0.04221995328925956,0.0005592095136952729,-0.25185251739077746
2023-07-13,0.06852174717,11.21918958,9.249105275,0.0,9.249105275,2023,7,194,0.22033333333333335,0.19311762056844772,0.02721571276488563,0.040270084605927264,0.000396269383525722,0.21730189163074154
2022-09-13,0.06599456428,9.647883987,5.88068366,0.0,5.88068366,2022,9,256,0.1794,0.21282209614934322,-0.03342209614934322,0.03383851191325042,0.0004955024390376114,-0.2659666195737202
2024-08-03,0.06251925619,17.7904335,1.749832982,0.0,1.749832982,2024,8,216,0.267,0.19963390963294786,0.06736609036705216,0.03199583777069497,0.0018962183283263083,0.5355759187531067
2023-08-05,0.0593435538,11.97271754,4.303330183,0.0,4.303330183,2023,8,217,0.15333333333333332,0.21818299281301934,-0.06484965947968602,0.024432389382125674,0.0013210924520124393,-0.5135672530733358
2023-08-21,0.05890933096,9.970956421,4.007703066,0.0,4.007703066,2023,8,233,0.150125,0.22722075573443726,-0.07709575573443725,0.02574929462552368,0.0019731106236438815,-0.6109608978553259
